seqNum,peak,I,mu,sigma,R2,isoshift,theorshift,masserror,isoratio,rt,tic,bpI,bpMZ,ion,n
2,0,115394.99142259694,116.07072581633005,2.686971745452512e-4,0.9987465536838587,0,0,0,1,8.52725153598,915933824,441480032,116.070732116699,P,NA
2,13C,6559.035473775611,117.07409746922266,NA,0.9985847822439664,1.0033716528926107,1.00335484,1.6812892610573726e-5,0.05683986274374127,8.52725153598,915933824,441480032,116.070732116699,P,5
2,15N,254.81541858568144,117.0679651219454,NA,0.9515566872009469,0.9972393056153521,0.9970349599999988,2.0434561535331852e-4,0.002208201720406583,8.52725153598,915933824,441480032,116.070732116699,P,1
2,2H,77.95765873593906,117.07651146423993,NA,0.8633870383502644,1.0057856479098746,1.0062767460000002,-4.910980901255968e-4,6.755722910922908e-4,8.52725153598,915933824,441480032,116.070732116699,P,10
2,18O,377.8839434839741,118.07507626585155,NA,0.9933637582371767,2.004350449521496,2.0042457800000015,1.0466952149457143e-4,0.0032746996973213164,8.52725153598,915933824,441480032,116.070732116699,P,2
2,0,209.33902135572976,132.06595562668724,3.5091526597104736e-4,0.9985158650277076,0,0,0,1,8.52725153598,915933824,441480032,116.070732116699,Hyp,NA
2,13C,10.346439433423916,133.06917168967615,NA,0.9655741466330542,1.003216062988912,1.00335484,-1.3877701108810925e-4,0.049424323121498755,8.52725153598,915933824,441480032,116.070732116699,Hyp,5
2,18O,2.928532926646451,134.06995563839791,NA,0.7792129143105135,2.004000011710673,2.0042457800000015,-2.457682893286517e-4,0.013989426852578982,8.52725153598,915933824,441480032,116.070732116699,Hyp,3
2,0,29.61110528680377,163.11226605229334,4.7026307787640786e-4,0.9970677170536848,0,0,0,1,8.52725153598,915933824,441480032,116.070732116699,Hyl,NA
2,13C,2.490493555621126,164.1161815446744,NA,0.9513903474616429,1.0039154923810543,1.00335484,5.60652381054183e-4,0.08410674074807392,8.52725153598,915933824,441480032,116.070732116699,Hyl,6
2,0,21.135060208268538,166.08703549878075,4.7896080979854106e-4,0.9944738943106368,0,0,0,1,8.52725153598,915933824,441480032,116.070732116699,F,NA
2,13C,1.5985254676760756,167.09024296314973,NA,0.755755326228758,1.003207464368984,1.00335484,-1.473756310161889e-4,0.07563382606550108,8.52725153598,915933824,441480032,116.070732116699,F,9
2,0,10.742374511011127,133.06917661514342,3.7735414193313315e-4,0.9727209852506093,0,0,0,1,8.52725153598,915933824,441480032,116.070732116699,N,NA
2,18O,0.6322752389462518,135.07306414367332,NA,0.5526126065329168,2.0038875285299014,2.0042457800000015,-3.582514701001571e-4,0.0588580521278753,8.52725153598,915933824,441480032,116.070732116699,N,3
2,0,8.442862327953595,147.0807232329061,3.702751286648547e-4,0.9716819303609664,0,0,0,1,8.52725153598,915933824,441480032,116.070732116699,Q,NA
2,13C,1.1366559659179183,148.08434511039192,NA,0.772474727043431,1.0036218774858128,1.00335484,2.670374858126934e-4,0.13462921954258897,8.52725153598,915933824,441480032,116.070732116699,Q,5
2,0,12.852110556193988,150.05867755342007,4.4968587936712e-4,0.9879445010987179,0,0,0,1,8.52725153598,915933824,441480032,116.070732116699,M,NA
2,15N,0.589628817001393,151.05518548343508,NA,0.5261230151250973,0.9965079300150137,0.9970349599999988,-5.270299849851057e-4,0.04587797579419556,8.52725153598,915933824,441480032,116.070732116699,M,1
4,0,191.1386032254673,132.06596358312405,3.5140218718411164e-4,0.997904414264906,0,0,0,1,19.416225008999998,876111872,413135616,116.070709228516,Hyp,NA
4,13C,12.335036180343286,133.06915471731367,NA,0.9838602824172303,1.0031911341896205,1.00335484,-1.6370581037961074e-4,0.06453451041385326,19.416225008999998,876111872,413135616,116.070709228516,Hyp,5
4,0,9.370086197316896,147.1133993015325,3.8073542065883615e-4,0.9932533075831039,0,0,0,1,19.416225008999998,876111872,413135616,116.070709228516,K,NA
4,18O,0.8128010956803825,149.1178400543603,NA,0.7831364171957523,2.0044407528278043,2.0042457800000015,1.9497282780278624e-4,0.08674424957938234,19.416225008999998,876111872,413135616,116.070709228516,K,2
4,0,28.468106899094998,156.0773856677903,4.466511327381187e-4,0.9973687688297744,0,0,0,1,19.416225008999998,876111872,413135616,116.070709228516,H,NA
4,2H,3.852281453632547,157.0839706912526,NA,0.6364261348897912,1.0065850234622928,1.0062767460000002,3.0827746229267206e-4,0.1353192000889603,19.416225008999998,876111872,413135616,116.070709228516,H,10
4,18O,3.4192944679222936,158.08158565144637,NA,0.9109324826885783,2.004199983656065,2.0042457800000015,-4.579634393664378e-5,0.12010965393807037,19.416225008999998,876111872,413135616,116.070709228516,H,2
4,0,16.076977972263393,166.087020312867,4.585054625841653e-4,0.9937496689679558,0,0,0,1,19.416225008999998,876111872,413135616,116.070709228516,F,NA
4,2H,1.103114119820092,167.09328959673846,NA,0.7764552666876118,1.006269283871461,1.0062767460000002,-7.4621285390819025e-6,0.06861451957720076,19.416225008999998,876111872,413135616,116.070709228516,F,12
4,0,11.322895632142414,148.06090779436468,4.067981971376697e-4,0.9626299332186454,0,0,0,1,19.416225008999998,876111872,413135616,116.070709228516,E,NA
4,13C,1.1122488535324895,149.0640207890396,NA,0.6917706169617215,1.0031129946749218,1.00335484,-2.418453250783159e-4,0.09823007202990884,19.416225008999998,876111872,413135616,116.070709228516,E,5
4,0,29.453904651622526,130.0502297678876,3.441275392460399e-4,0.9970369570167535,0,0,0,1,19.416225008999998,876111872,413135616,116.070709228516,Pyr,NA
4,18O,1.3089829909313577,132.05420799602632,NA,0.7730639258152956,2.0039782281387204,2.0042457800000015,-2.675518612811345e-4,0.0444417474156266,19.416225008999998,876111872,413135616,116.070709228516,Pyr,3
6,0,107039.41332436922,116.07069314398716,2.6857753476513385e-4,0.9981380051678005,0,0,0,1,30.310183440000003,900959680,409408224,116.070693969727,P,NA
6,13C,6060.8521703737415,117.07405861453516,NA,0.9980300844350697,1.0033654705480046,1.00335484,1.0630548004542106e-5,0.0566226213516988,30.310183440000003,900959680,409408224,116.070693969727,P,5
6,15N,231.01787578483498,117.06796466075635,NA,0.9480559474246875,0.9972715167691888,0.9970349599999988,2.3655676918998836e-4,0.0021582505790158336,30.310183440000003,900959680,409408224,116.070693969727,P,1
6,2H,69.1130930710158,117.07642877370868,NA,0.6938351847593667,1.0057356297215279,1.0062767460000002,-5.411162784723089e-4,6.456789226000093e-4,30.310183440000003,900959680,409408224,116.070693969727,P,10
6,18O,354.17972235693657,118.07507033208414,NA,0.9910902827865748,2.0043771880969814,2.0042457800000015,1.314080969798681e-4,0.0033088720440165374,30.310183440000003,900959680,409408224,116.070693969727,P,2
6,0,177.15024222131782,132.06595385152926,3.5232014175123124e-4,0.9979906344941706,0,0,0,1,30.310183440000003,900959680,409408224,116.070693969727,Hyp,NA
6,13C,9.192073343243797,133.06920353932014,NA,0.973915619031957,1.003249687790884,1.00335484,-1.0515220911599954e-4,0.05188857338258635,30.310183440000003,900959680,409408224,116.070693969727,Hyp,5
6,0,42.21714942741343,132.10231113714983,3.5372946426798674e-4,0.9982642579830043,0,0,0,1,30.310183440000003,900959680,409408224,116.070693969727,L,NA
6,15N,1.760112676386201,133.0996506025069,NA,0.8140175718243287,0.9973394653570722,0.9970349599999988,3.0450535707338133e-4,0.0416918882553279,30.310183440000003,900959680,409408224,116.070693969727,L,1
6,18O,1.11129129170543,134.10662542480748,NA,0.5849353191071951,2.0043142876576496,2.0042457800000015,6.850765764809807e-5,0.026323219515712263,30.310183440000003,900959680,409408224,116.070693969727,L,2
