seqNum,peak,I,mu,sigma,R2,isoshift,theorshift,masserror,isoratio,rt,tic,bpI,bpMZ,ion,n
2,0,1291.082978770319,116.07093231585138,2.7035914846137966e-4,0.9961244694276541,0,0,0,1,5.89691590398,429548352,117940408,132.065887451172,P,NA
2,13C,57.064753309080416,117.07430007917782,NA,0.9877965496537492,1.0033677633264375,1.00335484,1.292332643743066e-5,0.04419913688540086,5.89691590398,429548352,117940408,132.065887451172,P,5
2,15N,1.417980213396784,117.06795151244977,NA,0.8125805037523732,0.9970191965983872,0.9970349599999988,-1.5763401611579297e-5,0.0010982874352098789,5.89691590398,429548352,117940408,132.065887451172,P,1
2,2H,1.0939456932066451,117.07741793020048,NA,0.7872180329155762,1.0064856143491028,1.0062767460000002,2.0886834910260887e-4,8.473085860434505e-4,5.89691590398,429548352,117940408,132.065887451172,P,10
2,18O,4.733503530365723,118.075109408408,NA,0.9629238920482683,2.004177092556617,2.0042457800000015,-6.868744338461852e-5,0.0036663046513664894,5.89691590398,429548352,117940408,132.065887451172,P,2
2,0,155.54940220335584,132.10218296417517,3.6379773802866895e-4,0.9974843928295222,0,0,0,1,5.89691590398,429548352,117940408,132.065887451172,L,NA
2,13C,9.464401751219192,133.1056411213577,NA,0.9106752919593023,1.0034581571825356,1.00335484,1.033171825355339e-4,0.06084498954773229,5.89691590398,429548352,117940408,132.065887451172,L,6
2,0,85.16099490603608,175.1195844103052,5.254251189556429e-4,0.9980144400626484,0,0,0,1,5.89691590398,429548352,117940408,132.065887451172,R,NA
2,2H,4.0450206102855555,176.12541740405317,NA,0.9268727598381701,1.0058329937479584,1.0062767460000002,-4.437522520417403e-4,0.047498512843217745,5.89691590398,429548352,117940408,132.065887451172,R,15
2,0,145.10444705903478,163.11235123657116,4.708734572383008e-4,0.9975946909457589,0,0,0,1,5.89691590398,429548352,117940408,132.065887451172,Hyl,NA
2,13C,14.966700517888865,164.1156797508528,NA,0.9896611594072878,1.003328514281634,1.00335484,-2.6325718366138062e-5,0.1031443268709729,5.89691590398,429548352,117940408,132.065887451172,Hyl,6
2,0,2.5492580545612262,90.05512263209891,1.9958222543589636e-4,0.9945752216794524,0,0,0,1,5.89691590398,429548352,117940408,132.065887451172,A,NA
2,13C,1.8622556367835303,91.05747951590861,NA,0.7863318720129987,1.0023568838096963,1.00335484,-9.979561903037393e-4,0.7305088762793214,5.89691590398,429548352,117940408,132.065887451172,A,3
2,2H,1.4233119126562466,91.06035822663492,NA,0.9311177784352638,1.0052355945360034,1.0062767460000002,-0.0010411514639967479,0.5583239837605316,5.89691590398,429548352,117940408,132.065887451172,A,8
2,0,1.4021108617607985,106.05574580006487,2.0948902229310436e-4,0.9887522485651122,0,0,0,1,5.89691590398,429548352,117940408,132.065887451172,S,NA
2,15N,0.9957961281171295,107.05253369672249,NA,0.9637375107466245,0.9967878966576222,0.9970349599999988,-2.4706334237656336e-4,0.7102121203644262,5.89691590398,429548352,117940408,132.065887451172,S,1
2,0,155.41426806810273,118.08659566429213,2.930076699062268e-4,0.9963469152638877,0,0,0,1,5.89691590398,429548352,117940408,132.065887451172,V,NA
2,13C,8.685534874634854,119.08989928388166,NA,0.9767879628932639,1.0033036195895306,1.00335484,-5.122041046945469e-5,0.05588634159914353,5.89691590398,429548352,117940408,132.065887451172,V,5
2,15N,1.6400696271145416,119.08362022347802,NA,0.7238085876420315,0.9970245591858884,0.9970349599999988,-1.0400814110411716e-5,0.010552889689612417,5.89691590398,429548352,117940408,132.065887451172,V,1
2,0,2033.2081868580522,133.06923884803516,3.309860865750828e-4,0.9972795712344945,0,0,0,1,5.89691590398,429548352,117940408,132.065887451172,N,NA
2,13C,35.35366562196536,134.0725639453321,NA,0.9982582163724018,1.003325097296937,1.00335484,-2.9742703063107e-5,0.01738811886086192,5.89691590398,429548352,117940408,132.065887451172,N,4
2,15N,5.267613369225063,134.06617813973838,NA,0.9150453882935575,0.996939291703228,0.9970349599999988,-9.566829677076782e-5,0.002590788982295604,5.89691590398,429548352,117940408,132.065887451172,N,2
2,18O,9.781323762772299,135.07320008973855,NA,0.94601587183136715,2.0039612417033936,2.0042457800000015,-2.8453829660790575e-4,0.0048107831878680014,5.89691590398,429548352,117940408,132.065887451172,N,3
2,0,33.328758992587325,147.0809833807762,4.16972900595619e-4,0.9964412137219433,0,0,0,1,5.89691590398,429548352,117940408,132.065887451172,Q,NA
2,13C,4.229226235063957,148.08418669020776,NA,0.9700472829249447,1.0032033094315693,1.00335484,-1.5153056843075774e-4,0.12689420077130933,5.89691590398,429548352,117940408,132.065887451172,Q,5
2,2H,1.4889620647774076,148.0867961278637,NA,0.7320098051686978,1.0058127470875036,1.0062767460000002,-4.639989124965993e-4,0.04467499270250563,5.89691590398,429548352,117940408,132.065887451172,Q,11
2,0,21.244423007746658,148.06087653801154,4.029873654166172e-4,0.9979738083693496,0,0,0,1,5.89691590398,429548352,117940408,132.065887451172,E,NA
2,2H,11.59806611885227,149.06648469707423,NA,0.9955488627704786,1.0056081590626889,1.0062767460000002,-6.685869373113107e-4,0.5459346255072731,5.89691590398,429548352,117940408,132.065887451172,E,10
2,0,13.580320182263218,120.06592561824056,2.8883963520326357e-4,0.990697243399337,0,0,0,1,5.89691590398,429548352,117940408,132.065887451172,T,NA
2,15N,1.2929450296516038,121.06303093722283,NA,0.5098063329420071,0.9971053189822783,0.9970349599999988,7.035898227947257e-5,0.09520725669931362,5.89691590398,429548352,117940408,132.065887451172,T,1
2,0,47.39555707699922,130.05031565528898,3.3241263335261913e-4,0.9958870998981001,0,0,0,1,5.89691590398,429548352,117940408,132.065887451172,Pyr,NA
2,13C,2.2965248484412166,131.05349260935753,NA,0.6990160931518625,1.0031769540685502,1.00335484,-1.7788593144985043e-4,0.04845443307502986,5.89691590398,429548352,117940408,132.065887451172,Pyr,5
