seqNum,peak,I,mu,sigma,R2,isoshift,theorshift,masserror,isoratio,rt,tic,bpI,bpMZ,ion,n
1,0,263.0626586067211,116.07098337745636,2.8118239728364407e-4,0.997587756879244,0,0,0,1,0.31642620798,1217537408,458064928,132.065826416016,P,NA
1,13C,7.546226761960546,117.07457854791468,NA,0.9282006888229495,1.0035951704583255,1.00335484,2.4033045832538846e-4,0.02868604309683558,0.31642620798,1217537408,458064928,132.065826416016,P,5
1,0,4.262335646163712,106.05353079788726,2.0427611212742186e-4,0.9779175151587038,0,0,0,1,0.31642620798,1217537408,458064928,132.065826416016,S,NA
1,15N,2.5311717083599086,107.05077997038343,NA,0.9341180563232382,0.9972491724961685,0.9970349599999988,2.1421249616970783e-4,0.5938461722595858,0.31642620798,1217537408,458064928,132.065826416016,S,1
1,0,10.719617159560661,118.08929475237593,2.450505844749582e-4,0.9817713939039262,0,0,0,1,0.31642620798,1217537408,458064928,132.065826416016,V,NA
1,13C,4.734648812537823,119.0929933941848,NA,0.9028519491478061,1.0036986418088674,1.00335484,3.438018088672834e-4,0.44168077479474743,0.31642620798,1217537408,458064928,132.065826416016,V,5
1,15N,17.2716932262685,119.08564241518586,NA,0.7281068431658937,0.9963476628099244,0.9970349599999988,-6.872971900744318e-4,1.6112229540645622,0.31642620798,1217537408,458064928,132.065826416016,V,1
1,2H,10.05218499177289,119.09497815778994,NA,0.8975213521186727,1.005683405414004,1.0062767460000002,-5.933405859961383e-4,0.9377373130165849,0.31642620798,1217537408,458064928,132.065826416016,V,12
1,0,8250.834131851378,133.06918462174664,3.2965342071277284e-4,0.9981483566226891,0,0,0,1,0.31642620798,1217537408,458064928,132.065826416016,N,NA
1,13C,91.67394927824988,134.07243915292426,NA,0.9954157557549923,1.0032545311776175,1.00335484,-1.0030882238254435e-4,0.011110870466339075,0.31642620798,1217537408,458064928,132.065826416016,N,4
1,15N,17.202430274156807,134.06608819401703,NA,0.8571271105041035,0.9969035722703836,0.9970349599999988,-1.313877296151844e-4,0.0020849322625149914,0.31642620798,1217537408,458064928,132.065826416016,N,2
1,2H,7.160434638438463,134.075146619351,NA,0.6606063183325193,1.005961997604345,1.0062767460000002,-3.147483956551511e-4,8.678437263447637e-4,0.31642620798,1217537408,458064928,132.065826416016,N,9
1,18O,19.91009708230737,135.07379959040478,NA,0.8036263152560257,2.0046149686581316,2.0042457800000015,3.6918865813007073e-4,0.0024131011197336735,0.31642620798,1217537408,458064928,132.065826416016,N,3
1,0,117.95274966564708,130.05032240507066,3.1266109481982993e-4,0.9970637912851309,0,0,0,1,0.31642620798,1217537408,458064928,132.065826416016,Pyr,NA
1,13C,9.006075214148064,131.053409714884,NA,0.7187506834829087,1.0030873098133384,1.00335484,-2.675301866617019e-4,0.07635324517382591,0.31642620798,1217537408,458064928,132.065826416016,Pyr,5
1,18O,107.22434982189363,132.0543716559386,NA,0.9948561356376725,2.0040492508679506,2.0042457800000015,-1.965291320509266e-4,0.9090449364328975,0.31642620798,1217537408,458064928,132.065826416016,Pyr,3
3,0,300.67060194109183,116.0709194065512,2.8266865573953626e-4,0.9953315743594576,0,0,0,1,13.569914064,1250548480,572909376,132.065795898438,P,NA
3,13C,13.47983667692339,117.07403523419687,NA,0.977087796263208,1.0031158276456722,1.00335484,-2.3901235432788326e-4,0.04483257288840096,13.569914064,1250548480,572909376,132.065795898438,P,5
3,0,181333.88375472682,132.06578059754142,3.259803412778393e-4,0.995596643214518,0,0,0,1,13.569914064,1250548480,572909376,132.065795898438,Hyp,NA
3,13C,10101.936429760384,133.06914928209991,NA,0.9952838778022228,1.0033686845584953,1.00335484,1.3844558495179626e-5,0.05570903915246374,13.569914064,1250548480,572909376,132.065795898438,Hyp,5
3,15N,494.5876277183894,133.06287201175286,NA,0.9890937527508654,0.9970914142114395,0.9970349599999988,5.645421144073737e-5,0.0027274970208401384,13.569914064,1250548480,572909376,132.065795898438,Hyp,1
3,2H,203.73910538234603,133.07152732845756,NA,0.7437792755253594,1.0057467309161439,1.0062767460000002,-5.300150838563056e-4,0.0011235578324563138,13.569914064,1250548480,572909376,132.065795898438,Hyp,10
3,18O,979.4834920710202,134.07007784808786,NA,0.9935338218044815,2.0042972505464434,2.0042457800000015,5.147054644183413e-5,0.005401546979470615,13.569914064,1250548480,572909376,132.065795898438,Hyp,3
3,0,3.744298916748259,90.05503926840206,1.735479663290575e-4,0.9784680132735016,0,0,0,1,13.569914064,1250548480,572909376,132.065795898438,A,NA
3,2H,1.1740915774191514,91.06189796948347,NA,0.7819643216146894,1.0068587010814127,1.0062767460000002,5.819550814125662e-4,0.3135678009486466,13.569914064,1250548480,572909376,132.065795898438,A,8
3,0,11.10074455146328,118.08669955128337,2.358059015375906e-4,0.9467400828254335,0,0,0,1,13.569914064,1250548480,572909376,132.065795898438,V,NA
3,2H,2.787811350405127,119.0924118287395,NA,0.8447868135463281,1.0057122774561265,1.0062767460000002,-5.644685438737085e-4,0.2511373302467034,13.569914064,1250548480,572909376,132.065795898438,V,12
