,seqNum,peak,isoratio,ion,filename,scan_type
2,1,0,1.0,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
3,1,13C,0.05494040375364576,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
4,1,15N,0.002527499808283625,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
5,1,2H,0.0010130631556638657,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
6,1,18O,0.005868331291680321,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
34,3,0,1.0,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
35,3,13C,0.0553747619248505,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
36,3,15N,0.0027202839874650537,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
37,3,2H,0.0008064387587467436,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
38,3,18O,0.005359250501717953,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
58,5,0,1.0,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
59,5,13C,0.05510730924164266,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
60,5,15N,0.002703646414833813,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
61,5,2H,0.000980716746139658,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
62,5,18O,0.005529130895707463,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
79,7,0,1.0,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
80,7,13C,0.055025548440702635,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
81,7,15N,0.002697349889026516,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
82,7,2H,0.0011372603893378822,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
83,7,18O,0.005350012040384288,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
134,13,0,1.0,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
135,13,13C,0.055225863129137916,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
136,13,15N,0.0030035845772080467,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
137,13,2H,0.0014749530166379829,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
138,13,18O,0.0054505161275933975,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
149,15,0,1.0,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
150,15,13C,0.05507814124859674,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
151,15,15N,0.002873106629132573,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
152,15,2H,0.0008743940347682856,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
153,15,18O,0.0053364381908370066,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
176,17,0,1.0,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
177,17,13C,0.05530988295123459,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
178,17,15N,0.0023625619845324647,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
179,17,2H,0.00041320036330025193,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
180,17,18O,0.005159191638121475,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
186,19,0,1.0,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
187,19,13C,0.05542386656543784,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
188,19,15N,0.0028777660595217,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
189,19,2H,0.0010444058353882393,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
190,19,18O,0.0053783955399738384,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
205,21,0,1.0,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
206,21,13C,0.05536664178342825,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
207,21,15N,0.0027237659450416183,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
208,21,2H,0.0009726900396774235,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
209,21,18O,0.00534799970552445,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
220,23,0,1.0,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
221,23,13C,0.05771687424425868,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
222,23,15N,0.0014072394554838939,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
223,23,2H,0.000306698069719954,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
224,23,18O,0.005350171714487433,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
237,25,0,1.0,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
238,25,13C,0.05551158185795283,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
239,25,15N,0.002475120633545684,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
240,25,2H,0.0006858356146629464,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
241,25,18O,0.005305976957375969,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
259,27,0,1.0,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
260,27,13C,0.055366516981715824,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
261,27,15N,0.002725512065735135,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
262,27,2H,0.0013012414177274061,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
263,27,18O,0.00534054898735955,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
279,29,0,1.0,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
280,29,13C,0.05520763752134305,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
281,29,15N,0.0027913168334553983,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
282,29,2H,0.0011129836807672224,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
283,29,18O,0.005301030089581267,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
303,31,0,1.0,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
304,31,13C,0.055365608176808925,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
305,31,15N,0.002740891352401057,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
306,31,2H,0.001094346127768827,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
307,31,18O,0.0052120809739605155,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
318,33,0,1.0,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
319,33,13C,0.05514567706821059,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
320,33,15N,0.0026969523106230558,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
321,33,2H,0.0008135294853753161,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
322,33,18O,0.005378176220865868,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
345,35,0,1.0,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
346,35,13C,0.055414527969672285,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
347,35,15N,0.0027022980606453443,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
348,35,2H,0.0007092304685643249,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
349,35,18O,0.0054691765026956395,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
371,37,0,1.0,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
372,37,13C,0.05492942754656845,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
373,37,15N,0.0028952576831045252,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
374,37,2H,0.0009914375292683331,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
375,37,18O,0.005407155366359746,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
393,39,0,1.0,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
394,39,13C,0.0556478750142453,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
395,39,15N,0.0027865320840849746,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
396,39,2H,0.001039407844655543,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
397,39,18O,0.005499707647294098,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
412,41,0,1.0,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
413,41,13C,0.055541260004817856,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
414,41,15N,0.00271798117915102,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
415,41,2H,0.0007585117257841894,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
416,41,18O,0.005184882009568262,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
443,43,0,1.0,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
444,43,13C,0.05513505953447295,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
445,43,15N,0.002705203427653609,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
446,43,2H,0.0010983664597429372,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
447,43,18O,0.005377022688542065,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
469,45,0,1.0,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
470,45,13C,0.055105830699069436,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
471,45,15N,0.0027475876710933464,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
472,45,2H,0.0011742491341931068,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
473,45,18O,0.005204226481077413,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
497,47,0,1.0,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
498,47,13C,0.054990602041902426,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
499,47,15N,0.0030426889253213304,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
500,47,2H,0.0014054975175380358,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
501,47,18O,0.005313817777641364,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
521,49,0,1.0,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
522,49,13C,0.05515499580209127,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
523,49,15N,0.002614029182988739,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
524,49,2H,0.0008881474838561231,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
525,49,18O,0.005453881848819944,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
538,51,0,1.0,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
539,51,13C,0.05788495860796745,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
540,51,15N,0.0015089093120951556,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
541,51,2H,0.0002952187533539214,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
542,51,18O,0.0053432957716376865,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
551,53,0,1.0,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
552,53,13C,0.05529055154008963,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
553,53,15N,0.002656727349600069,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
554,53,2H,0.0005679737989106224,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
555,53,18O,0.005275764726717508,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
571,55,0,1.0,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
572,55,13C,0.05524449760541325,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
573,55,15N,0.0028221234169528873,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
574,55,2H,0.0012256500270766302,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
575,55,18O,0.0053189433630304005,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
596,57,0,1.0,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
597,57,13C,0.05558970693319478,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
598,57,15N,0.00264374666129336,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
599,57,2H,0.0011406920337660145,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
600,57,18O,0.005357998800388411,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
615,59,0,1.0,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
616,59,13C,0.05804345909768924,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
617,59,15N,0.0014693656669617422,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
618,59,18O,0.005434323264660269,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
650,65,0,1.0,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
651,65,13C,0.054797332810942116,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
652,65,15N,0.0026543958441387324,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
653,65,2H,0.000983156775229285,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
654,65,18O,0.005355981370581288,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
674,67,0,1.0,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
675,67,13C,0.05455768109281744,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
676,67,15N,0.002776828276237553,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
677,67,2H,0.0011013628284083242,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
678,67,18O,0.005324622146621926,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
699,69,0,1.0,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
700,69,13C,0.05771867940395936,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
701,69,15N,0.0015450770704878562,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
702,69,2H,0.0003945219141550125,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
703,69,18O,0.0053343473698470615,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
712,71,0,1.0,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
713,71,13C,0.05529899958483221,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
714,71,15N,0.002367557399742432,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
715,71,2H,0.0005783717291032266,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
716,71,18O,0.005453223191280693,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
729,73,0,1.0,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
730,73,13C,0.05486353244236256,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
731,73,15N,0.002698304321011828,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
732,73,2H,0.0010304211167498848,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
733,73,18O,0.00539589510462649,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
750,75,0,1.0,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
751,75,13C,0.055401877502019206,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
752,75,15N,0.002522450877986999,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
753,75,2H,0.0005681582310135079,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
754,75,18O,0.0051692938666069435,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
768,77,0,1.0,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
769,77,13C,0.057789925404010324,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
770,77,15N,0.0014971793596047784,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
771,77,2H,0.00030606531718341967,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
772,77,18O,0.005413367100303454,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
780,79,0,1.0,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
781,79,13C,0.055608279706473016,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
782,79,15N,0.0024112218109145307,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
783,79,2H,0.0007029302976969987,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
784,79,18O,0.005122247545392211,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
803,81,0,1.0,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
804,81,13C,0.055505434133504734,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
805,81,15N,0.002803590852085948,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
806,81,2H,0.0010273343633404037,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
807,81,18O,0.0052978368987102046,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
823,83,0,1.0,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
824,83,13C,0.05460610301707618,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
825,83,15N,0.002866871378155645,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
826,83,2H,0.0011438608146805212,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
827,83,18O,0.005271707028040385,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
842,85,0,1.0,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
843,85,13C,0.054695703459639686,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
844,85,15N,0.002854515731233909,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
845,85,2H,0.0011073398524928323,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
846,85,18O,0.0053544266057203175,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
863,87,0,1.0,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
864,87,13C,0.055622083134392215,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
865,87,15N,0.002826640913302928,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
866,87,2H,0.0012031104715980892,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
867,87,18O,0.005449325113715414,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
883,89,0,1.0,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
884,89,13C,0.055587171053442526,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
885,89,15N,0.002762081885256718,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
886,89,2H,0.001041717689791466,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
887,89,18O,0.005474214538389601,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
905,91,0,1.0,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
906,91,13C,0.05546619482009624,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
907,91,15N,0.0028775609224157995,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
908,91,2H,0.0011764431964886362,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
909,91,18O,0.005392973553709844,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
924,93,0,1.0,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
925,93,13C,0.05529589997297618,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
926,93,15N,0.0026510992562488018,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
927,93,2H,0.0009166040654347104,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
928,93,18O,0.005303108299246257,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
949,95,0,1.0,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
950,95,13C,0.05539852751004783,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
951,95,15N,0.0025060074783602466,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
952,95,2H,0.0007217986741318267,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
953,95,18O,0.00524365516905994,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
967,97,0,1.0,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
968,97,13C,0.055472465512359036,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
969,97,15N,0.002750259742699289,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
970,97,2H,0.0010742522440178649,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
971,97,18O,0.00525450037866948,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
985,99,0,1.0,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
986,99,13C,0.055445173800665735,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
987,99,15N,0.0026879900017225365,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
988,99,2H,0.001062188630879519,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
989,99,18O,0.005402896778611734,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
1011,101,0,1.0,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
1012,101,13C,0.05531142192998361,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
1013,101,15N,0.002744311626993581,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
1014,101,2H,0.0010953940377561118,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
1015,101,18O,0.005325903332973593,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
1029,103,0,1.0,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
1030,103,13C,0.055547244328802085,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
1031,103,15N,0.0027055937073127397,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
1032,103,2H,0.00141250953285254,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
1033,103,18O,0.00528509242828499,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
1053,105,0,1.0,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
1054,105,13C,0.05529435776240525,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
1055,105,15N,0.002876946455212629,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
1056,105,2H,0.0011411724397779905,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
1057,105,18O,0.005321129855727725,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
1081,107,0,1.0,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
1082,107,13C,0.05509106961798075,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
1083,107,15N,0.0029852194496595252,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
1084,107,2H,0.0010094893154887151,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
1085,107,18O,0.005077282352489315,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
1106,109,0,1.0,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
1107,109,13C,0.05535223055987969,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
1108,109,15N,0.002938164529658829,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
1109,109,2H,0.0012757132416468815,Hyp,20200309_AminoAcid_Hyp_0.1_AGC_2_fit.csv,MS
